26% incorrect conflict label,Assignee,Article index,Conflict,Location correct,South Sudan / Liberation movement Conflict,Government / Liberation Movement Conflicts in general,Additional Notes
,Martijn,79,2,Bentiu + Rubkona,yes,,Conflict between Sudan and south Sudan (bombings) also includes rebels
,Martijn,80,2,Heglig,no,,Conflict between Sudan and South Sudan (bombings)
,Martijn,81,2,Unity state,no,,"Conflict between Sudan and South Sudan (bombings), emergency call from religious angles"
,Martijn,82,2,Unity state,no,,"Conflict between Sudan and South Sudan (bombings), ask from HA to stop bombings to provide aid"
,Martijn,83,2,Unity state,no,,"Conflict between Sudan and South Sudan (bombings), negotiating for peace"
,Martijn,84,2,Heglig,no,,Conflict between Sudan and South Sudan (bombings)
,Martijn,85,2,Unity state,no,,"Conflict between Sudan and South Sudan (bombings), negotiating for peace"
,Martijn,86,2,Unity state,no,,"Conflict between Sudan and South Sudan (bombings), negotiating for peace"
,Martijn,87,2,Bentiu,no,,"Conflict between Sudan and South Sudan (bombings), negotiating for peace"
,Martijn,88,2,Bentiu + Rubkona,no,,"Conflict between Sudan and South Sudan (bombings), negotiating for peace"
,Martijn,89,2,Heglig,no,,Conflict between Sudan and South Sudan (especcialy for oil resources)
,Martijn,90,2,yes,no,,"Conflict between Sudan and South Sudan (bombings), ask from HA to stop bombings to provide aid"
,Martijn,91,2,Heglig,no,,Conflict between Sudan and South Sudan (especcialy for oil resources)
,Martijn,92,2,Heglig,no,,Conflict between Sudan and South Sudan (especcialy for oil resources)
,Martijn,93,1,Unity state,no,,Due to conflict for oil: lots of refugees going to Juba
,Martijn,94,1,Heglig,yes,,Confligt between Sudan and South Sudan angres the liberation movement. They think the South Sudan government is not handling the situation
,Martijn,95,0,Unity state,no,,Something about Arabic names in south sudan
,Martijn,96,2,Unity state,no,,Failing to settle peace between Sudan and South Sudan
,Martijn,97,0,Unity state,no,,South Sudan failing to organize their new country
,Martijn,98,0,Unity state,no,,Call to South Sudan government to invest in agriculture. Sustainable food production due to good ground and water for growing food
,Martijn,99,0,Unity state,no,,Bad road conditions due to heavy rainfall. Problems with importing food and aid and exporting oil
,Martijn,100,0,Bentiu,yes,,Meeting South Sudan and liberation movement about standars for education
,Martijn,101,0,Beniu,no,,Discovery oil --> conflict --> economic collapse
,Martijn,102,0,Bentiu,no,,Nothing intesting
,Martijn,103,2,Heglig,yes,,Ongoing conflict Sudan and South Sudan. Sudan is supporting the rebels
,Martijn,104,0,Unity state,no,,Salary cut due to no oil production
,Martijn,105,0,Unity state,no,,Death of pregnant women
,Martijn,106,1,Unity state,no,,Demilitarized buffer zone along border South Sudan and Sudan
,Martijn,107,0,Unity state,no,,Improvment in food availablity (less malnutrition among children)
,Martijn,108,0,Unity state,no,,Salary cut due to no oil production
,Martijn,109,1,Unity state,no,,Sudan and Souht Sudan stop supporting rebels
,Martijn,110,0,Unity state,no,,football
,Martijn,111,0,Unity state,no,,corruption
,Martijn,112,0,Unity state,no,,Sudan nomadic people moving to South Sudan but are heavily armed
,Martijn,113,0,Unity state,no,,Salary cut due to no oil production
,Martijn,114,0,Unity state,no,,Improving social services
,Martijn,115,0,Unity state,no,,South Sudan is postponing celebrations to mark the peace deal that led to South Sudan's independence
,Martijn,116,2,Payinjiar,no,,"Cattle raids, with killing people"
,Martijn,117,0,Unity state,no,,potential export of oil
,Martijn,118,0,Unity state,no,,Government is getting smaller due to firing employees (due to no oil production)
,Martijn,119,0,Unity state,no,,Government is getting smaller due to firing employees (due to no oil production)
,Martijn,120,2,Unity state,no,,"Cattle raids, with killing people"
,Martijn,121,1,No info,no,,"Demilitarized zone failed, now attempting joined police forces along the border"
,Martijn,122,1,No info,no,,President of Mongolio visited to discuss UN missions
,Martijn,123,2,Unity state,no,,Conflict between Sudan and South Sudan (bombings)
,Martijn,124,0,yes,no,,Talks about setting up a constitution and other laws/services
,Martijn,125,1,yes,no,,Talks about all kind of violent stuff such as the cattle raidings
,Martijn,126,2,Unity State,no,,Conflict between Sudan and South Sudan (bombings)
,Martijn,127,2,Unity State,no,,"Cattle raids, with killing people"
,Martijn,128,1,yes,no,,unexploded land mine
,Martijn,129,1,yes,no,,new military equiment
,Martijn,130,2,Unity State,no,,Rebels atacked a refugee camp
,Martijn,131,1,No info,no,,New attempt for demilitarized zone
,Martijn,132,0,No info,no,,Deal that supports merchants for importing and exporting
,Martijn,133,0,yes,no,,supporting rebels that fight each other
,Martijn,134,0,yes,no,,supporting rebels that fight each other
,Martijn,135,0,No info,no,,South Sudan trying to improve its government
,Martijn,136,2,unity state,yes,,The liberation movement surrendered and gave their weapons to South  Sudan (3000)
,Martijn,137,2,Juba,yes,,peace talkings between South Sudan and the Liberation movement
,Martijn,138,2,Unity State,no,,Sudan again atacking South Sudan
,Martijn,139,0,No info,no,,Rebel leader died
,Martijn,140,2,Unity State,no,,Sudan again atacking South Sudan
,Martijn,141,0,Unity State,no,,Salaries are goiong up despite bad economic situatins
,Martijn,142,1,no info,no,,Call for rebels to accept the government
,Martijn,143,1,unity state,no,,Call for rebels to accept the constitution
,Martijn,144,2,Unity state,no,,Rebels are fighting South Sudan
,Martijn,145,0,no info,no,,No press freedom (due to violence against press)
,Martijn,146,0,yes,no,,Trying to involve young people into politics
,Martijn,147,1,No info,no,,New attempt for demilitarized zone
,Martijn,148,0,unity state,no,,Extra money for stability and security
,Martijn,149,0,Unity state,no,,Unity state changing its name to western upper nile state
,Martijn,150,0,Unity state,no,,Unity state changing its name to western upper nile state
,Martijn,151,0,Unity state,no,,Unity state changing its name to western upper nile state
,Martijn,152,1,yes,no,,supporting rebels that fight each other
,,,,,,,
,Pablo,153,1,Bentiu,no,,Reformation of employment policies
,Pablo,154,0,Bentiu,no,,Repairing streets using oil revenue
,Pablo,155,1,Payinjiar,no,,Comprehensive Peace Agreement resulted in Payinjiar County has been cut off from communication network
,Pablo,156,2,yes,no,,Deaths in conflict with Sudan
,Pablo,157,2,yes,yes,,Attack on South Sudanis
,Pablo,158,1,bentiu,yes,,Politic election
,Pablo,159,1,Bentiu,no,,Peace building policies
,Pablo,160,2,Juba,yes,,"Fighting, gunfire between Lib and South Sudan"
,Pablo,161,2,yes,no,,Conflicts and fights
,Pablo,162,2,Bentiu,yes,,Clashes between Lib and South Sudan
,Pablo,163,1,Bentiu,no,,Overthrowing the gov
,Pablo,164,2,no,yes,,Clashes between Lib and South Sudan because of oil
,Pablo,165,1,Bentiue,no,,Tensions
,Pablo,166,0,yes,no,,US involved in South Sudan
,Pablo,167,1,Bentiu,no,,Invasion of Oil territories
,Pablo,168,1,Bentiue,no,,President talks
,Pablo,169,0,no,no,,Vice President talks
,Pablo,170,0,Juba,no,,Pope got involved
,Pablo,171,1,yes,yes,,Clashes between Lib and South Sudanis
,Pablo,172,1,Bentiu,no,,Many deaths after military intervention
,Pablo,173,1,no,no,,Oil talks
,Pablo,174,2,Bentiu,no,,"Many deaths, UN peacemakers coming"
,Pablo,175,0,no,no,,Kenya Airways mission
,Pablo,176,1,Juba,yes,,Rebel groups vs South Sudan fights
,Pablo,177,0,no,no,,Military and policy talks
,Pablo,178,1,no,yes,,Call for peace
,Pablo,179,1,Wangkei,yes,,"Seized weapons, south sudan tells equality movement to stay out"
,Pablo,180,0,Bentiu,no,,Consequences of violence
,Pablo,181,1,Bentiu,yes,,Burrial in mass grave
,Pablo,182,1,Jonglei,no,,"Refugees in Ethiopia, Uganda, etc "
,Pablo,183,0,no,yes,,Mentions rebel groups
,Pablo,184,1,bentiu,no,,UN peacemakers in action
,Pablo,185,1,no,yes,,Mentions rebel groups + displacement of thousands
,Pablo,186,0,Bentiu,yes,,Mentions rebel groups
,Pablo,187,1,Bentiu,yes,,Mentions rebel groups 
,Pablo,188,1,Bentiu,yes,,Mentions rebel groups + people fleeing
,Pablo,189,1,Bentiu,yes,,Mentions rebel groups + US involved in South Sudan
,Pablo,190,1,no,yes,,Summary of conflict
,Pablo,191,0,Bentiu,no,,Healthcare and safety programs
,Pablo,192,0,no,no,,People displaced
,Pablo,193,1,Bentiu,yes,,Mentions rebel groups
,Pablo,194,1,Bentiu,yes,,Mentions rebel groups
,Pablo,195,1,no,yes,,UN intervenes
,Pablo,196,1,Bentiu,no,,Displacement
,Pablo,197,0,Bentiu,yes,,Mentions rebel groups
,Pablo,198,1,Bentiu,yes,,Mentions rebel groups
,Pablo,199,1,Bentiu,yes,,Mentions rebel groups
,Pablo,200,2,Bentiu,yes,,Mentions rebel groups
,Pablo,201,2,Bentiu,yes,,Mentions rebel groups + mass killing + politics
,Pablo,202,1,Bentiu,no,,Government and Politics
,Pablo,203,2,no,yes,,Tensions between Liv and South Sudan
,Pablo,204,0,Bentiu,no,,People displaced\fled
,Pablo,205,0,Bentiu,no,,People displaced and oil talks
,Pablo,206,1,Bentiu,no,,Mentions some rebels
,Pablo,207,1,Bentiu,no,,Potential agreements in the talks
,Pablo,208,1,no,no,,cease fire agreement Ehtiopia
,Pablo,209,1,Bentiu,yes,,Rebels surrendered 
,Pablo,210,1,yes,no,,Food crisis worsens
,Pablo,211,0,no,no,,Peace agreement
,Pablo,212,1,no,yes,,Mentions rebels
,Pablo,213,0,no,no,,African union checks situation
,Pablo,214,0,yes,no,,"Oil talks, China talks, all about a book"
,Pablo,215,1,Bentiu,yes,,Mentions rebels and peacekeepers
,Pablo,216,0,Bentiu,no,,Loads of UN talks
,Pablo,217,0,no,no,,Sudan and South Sudan conflict
,Pablo,218,1,Bentiu,yes,,Mentions rebels and clashes
,Pablo,219,1,Bentiu,yes,,Mentions rebels and clashes
,Pablo,220,1,no,yes,,Vice President becomes rebel
,Pablo,221,2,yes,yes,,Rebels invade oil territory
,Pablo,222,1,Bentiu,no,,UN peacemakers in action
,Pablo,223,1,Bentiu,no,,Many deaths and peacekeepers got involved
,Pablo,224,1,no,yes,,Rebel troops detained
,Pablo,225,2,Bentiu,yes,,Rebels and oil
,Pablo,226,2,Juba,yes,,"Politicians detained, rebels involved, Liberation movement"
,Pablo,227,2,Bentiu,yes,,"many killings, ongoing violence"
,Pablo,228,2,Bentiu,yes,,Liberation movement and oil 
,Pablo,229,2,Bentiu,yes,,Rebels (and vicepresident) claim Unity State
,,,,,,,
,Paul,230,1,yes,yes,,anti_government
,Paul,231,2,Bentiu,yes,,rebels keyword not recognized
,Paul,232,2,Bentiu,yes,,article stated in Koch
,Paul,233,1,Bentiu,yes,,captury of Bentiu by rebels
,Paul,234,1,yes,yes,,increase military efforts against rebels attacks
,Paul,235,1,Bentiu,yes,,chinese comapnies not affected by conflict in Bentiu
,Paul,236,2,yes,yes,,war would destabilise the entire region
,Paul,237,2,Bentiu,yes,,mentions death toll from capture of Bentiu
,Paul,238,2,Bentiu,no,,Nuer people killed as opposition forces entered town and people killed bc of their ethnicity
,Paul,239,2,Jonglei states,no,,"civilans killed in ethnically motivated attacks, violated ceasfire btw tribal lines"
,Paul,240,2,Bentiu,yes,,death toll from Bentiu changing hands on 15 april
,Paul,241,0,yes,no,,closure of some kenya commercial bank branches
,Paul,242,1,Bentiu,yes,,celebrating the recapture of Bentiu despicte violence
,Paul,243,2,Bentiu and Mayom,yes,,"conflict, fallen to rebel forces, increase in people seeking shelter at UN facilities, and warns famine"
,Paul,244,2,Bentiu,yes,,condemns intentional killing of innocent civilans and offers support to freedom fighters
,Paul,245,2,Bentiu,yes,,rebels killed hundred of people. The capture of Bentiu and attack on the UN compound are believed to constitute war crimes.
,Paul,246,2,Bentiu,yes,,rebels deny allegations of killing hundreds of civilians in Bentiu
,Paul,247,2,Bentiu,yes,,rebels killed more than 200 and wounded over 400 people after seizing town from gov. troops on April 15
,Paul,248,2,Bentiu,no,,"tribal activity. Recent massacre, led to death of hundreds of civilians"
,Paul,249,2,Bentiu,no,, rebels are accused of committing atrocities against innocent civilians
,Paul,250,2,Bentiu,no,,UN  statement they did not turn away any civilians and hate speech brodcast leeding to shattered ceasfire deal (jan)
,Paul,251,2,Bentiu,no,,"The article highlights continuing violence and clashes, including targeted ethnic killings in Bentiu"
,Paul,252,1,Bentiu,yes,,rebels deny killing sudanese traders but admit to killing armed sudanese nationals fighting with president forces
,Paul,253,2,Bentiu and Bor,no,,"rebel killing hundreds of innocent civilians, more than 22,000 seeking proection in UN camp in Bentiu"
,Paul,254,1,Bentiu,no,,"instating 8,500 peacekeepers to help stop violence"
,Paul,255,1,South Sudan,no,,armed groups Janjaweed and Messeriya cross border to launch attack on citizen and oil fields
,Paul,256,2,Bentiu,yes,,rebels killed more than 200 and wounded over 400 people after seizing town from gov. troops on April 15
,Paul,257,2,Bentiu,no,,opposition forces killed hundreds of civilians based on their ethnicity or nationality
,Paul,258,2,Bentiu,no,,masacre of innocent civilians from rebels 
,Paul,259,2,Bentiu,yes,,"rebel gunmen cilled hundreds of civilians, at least 48 on a UN peacekeeping base, more than 1 mil at risk of famine"
,Paul,260,2,Bentiu,yes,,rebels denying accusation of killing hundres after taking control of small town
,Paul,261,2,Bentiu and Bor,yes,,200 and 40 killed in Bentiu and Bor civilians killed
,Paul,262,2,Bentiu,yes,,rebel overran bentiu mid-April and death toll with 200 killed and 400 wounded
,Paul,263,2,Bentiu,yes,,rebel capture of Bentiu
,Paul,264,2,Bentiu,yes,,rebels killing hundred of civilians
,Paul,265,1,Bentiu and Bor,yes,,Secretary Kerry concern of conflict and deliberate targeting of civilians by armed groups on both sides of the conflict
,Paul,266,2,Bentiu,yes,,US and EU threatned South Sudan with sanctions following massacre in Bentiu killing dozens of IDPs
,Paul,267,1,Bentiu,no,,rebels prodcast hate messages that ethnic groups should not stay in Bentiu. Led to civilians being murdered
,Paul,268,1,South Sudan,yes,,"dismissal of SS army chief, itelligence chief by president Salva Kiir. Said to be normal routine not bc of Bentiu takeover"
,Paul,269,1,Bentiu and Bor,yes,,"discusses recent violence in locations, release of political officials"
,Paul,270,2,Maga,yes,,3 hour battle in Manga village between Parieng county and Unity junction
,Paul,271,2,Bentiu,yes,,confirmed 200 kills and 400 wounded in Bentiu by rebel forces after capture
,Paul,272,2,Bentiu and Bor,yes,,"8,500 peackeepers in the country, rebels killing hundred in Bentiu, displacement of 1.1 million people from homes"
,Paul,273,1,Bentiu,yes,,firing of commander after fall of Bentiu
,Paul,274,1,Bentiu,yes,,US asked South sudan to immediately halt their military offensive against armed opposition
,Paul,275,2,Bentiu,yes,,massacre of civilians by rebels 
,Paul,276,1,Bentiu,yes,,armed restiances deny targeting and murdering innocent civilians 
,Paul,277,2,Benitu,yes,,killed tens of thousands and displaced at least one million people
,Paul,278,2,Bentiu and Bor,yes,,rebels massacre civilians and attack on UN compound in Bor
,Paul,279,2,Bentiu,yes,,repels mass violence in Bentiu on 14 and 15 april
,Paul,280,2,"Juba, Bentiu, and Bor",yes,,"genocidal regime in Juba, murder innocent civilians in Bentiu, killings hundres of women and children in Bor"
,Paul,281,1,yes,yes,,"call for parties to respect cessation of hostitilies and end human rights violations, conflict has displaced tens of thousands since Dec 2013"
,Paul,282,2,Bentiu and Bor,yes,,rebels exectured hundreds of civilians and a Un camp was attacked
,Paul,283,2,Bentiu,yes,,major battle on april 15 in bentiu
,Paul,284,1,Bentiu,yes,,Wolf shows photos of one pile of bodies from massacre in Bentiu and another is imminent
,Paul,285,1,South Sudan,no,,Obama signed order allowing US to impose sanction on people violating human rights and contributing to unrest
,Paul,286,2,Bentiu,yes,,South Sudanese military assault on rebels holding oil porducing hub of Bentiu
,Paul,287,1,"Bentiu, Bor, Juba, Malakal..",yes,,cease offensive military actions and respect rights of every citizen
,Paul,288,1,South Sudan,yes,,rejection of claims that country is at risk of becoming failed state despite growing concerns of fullscale civil war and genocide
,Paul,289,2,Bentiu and Nasir,yes,,"recapture of Bentiu by opposition forces, changed hands multiple times"
,Paul,290,2,Bentiu,yes,,explicit mention of Sudans People's Liberation Army (SPLA)
,Paul,291,1,Bentiu,yes,,"deteriorating human rights situation with increasing ethnic violence and revenge killings, point of view from UN"
,Paul,292,1,Bentiu,yes,,explicit mention of Sudans People's Liberation Movement
,Paul,293,2,Bentiu,yes,,coveres Bentiu massacre and who was responsible (which rebels)
,Paul,294,1,Bentiu,yes,,signed cease fire with SPLA and then fighting in bentiu 2 days later
,Paul,295,2,Unity,yes,,SPLA denies accusation of attacks and states that rebel forces are attacking their positions
,Paul,296,1,Bentiu,yes,,SPLA inadquate command and control. Fighting in Bentiu 2 days after ceasfire agreement
,Paul,297,2,Unity,yes,,both sides accused of violating ceasfire agreegment
,Paul,298,2,Unity,yes,,"both sides accused of violating ceasfire agreegment, millions in need of food aid and little access due to fighting"
,Paul,299,2,Bentiu and Rubkotna,yes,,"national army and mercenaries are attacking rebel positions, result displacement of over a million people "
,Paul,300,2,Bentiu,yes,,"heavy military presence causing delay in aid suppliers, 4 million people facing acute food insecurity"
,Paul,301,0,Pakistan,no,,do not keep
,Paul,302,0,South Sudan,no,,abide ceasfire agreement with warning parties
,Paul,303,0,Bentiu,no,,Un trying to fund 1.27B but only at 781M urgently needed
,Paul,304,0,South Sudan,yes,,failing to exert full control of armies after hostilities agreement to end 5 month conflict
,Paul,305,1,Unity,no,,looting of medical equiment and supplies from UN
,Paul,306,2,Bentiu,yes,,"Bentiu recapture, 200 killed"
,,,,,,,
,Patra,307,2,Bentiu,yes,,UN peace keeping mission in SS
,Patra,308,2,Bentiu,yes,,creating transitional national unity government between SS and the rebels
,Patra,309,1,Bentiu,yes,,"doctors without borders were attacked in SS, too much about Somalia"
,Patra,310,0,Bentiu,no,,cholera issues
,Patra,311,0,Unity,no,,the Unity ORG state students' union members in Uganda
,Patra,312,1,Unity,yes,,implementation of a federal system of government
,Patra,313,1,Unity,yes,,measures are suggested to end the conflict and restore normalcy
,Patra,314,2,Bentiu,yes,,conflict between government and rebel group
,Patra,315,2,Unity,yes,,mentions SPLM
,Patra,316,2,Bentiu,yes,,rebel forces killed 15 government troops
,Patra,317,0,Bentiu,no,,sancions imposed on SS army generals
,Patra,318,1,Bentiu,yes,,"sold missiles, arms, and ammunition to the SS government"
,Patra,319,1,Unity,yes,,planning an all-out offensive against their positions
,Patra,320,2,Unity,yes,,rebels planted landmines
,Patra,321,2,Bentiu,yes,,war crimes and atrocities committed by both government and opposition forces
,Patra,322,2,Bentiu,yes,,battling government troops 
,Patra,323,2,Bentiu,yes,,renewed fighting between government troops and rebels
,Patra,324,2,Bentiu,yes,,"child murdered, mentions SPLM"
,Patra,325,0,Bentiu,no,,radio station shut down
,Patra,326,2,Bentiu,yes,,outbreak of violence
,Patra,327,2,Bentiu,yes,,endagered personnel and civilians
,Patra,328,0,Bentiu,yes,,worsening humanitarian situation in SS
,Patra,329,2,Bentiu,yes,,fighting broke out in Bentiu
,Patra,330,1,Bentiu,yes,,Fighting broke out in Unity 
,Patra,331,2,Unity,yes,,outbreak of fighting in Unity
,Patra,332,2,Bentiu,yes,,clashes breaking out in areas surrounding Unity
,Patra,333,0,Unity,no,,politicians to abide by peace agreements
,Patra,334,0,Unity,no,,neighboring countries to monitor and report violations
,Patra,335,2,Bentiu,yes,,ceasefire monitor in Bentiu 
,Patra,336,2,Bentiu,yes,,shooting down of an UNMISS helicopter
,Patra,337,1,Bentiu,yes,,"not able to come to an agreement, and fighting has recently broken out"
,Patra,338,2,Bentiu,yes,,"people in SS harsh conditions, surrounded by ongoing conflict and targeted abuse"
,Patra,339,0,Unity,no,,"integrated measles, polio and vitamin A campaign in several locations"
,Patra,340,0,Bentiu,yes,,no weapons were fired
,Patra,341,1,Bentiu,yes,,condemning the SPLM forces for initiating conflict in Bentiu 
,Patra,342,2,Bentiu,yes,,counter-attack on the twin town of Rubkona
,Patra,343,2,Bentiu,no,,fresh clashes between South Sudan's rival factions in Unity 
,Patra,344,2,Bentiu,yes,,recent attacks carried out by SPLM
,Patra,345,2,Unity,yes,,recent outbreak of violence in South Sudan's oil-rich Unity
,Patra,346,2,Bentiu,yes,,latest attacks by Sudan People's Liberation Movement
,Patra,347,1,Bentiu,yes,,rebel forced to take control of a town
,Patra,348,2,Bentiu,yes,,renewed outbreak of violence in Bentiu
,Patra,349,1,Rubkona,yes,,civilians are fleeing to UNMISS
,Patra,350,2,Bentiu,yes,,control over Bentiu
,Patra,351,0,Bentiu,no,,mphasizes that only political negotiations can resolve the crisis
,Patra,352,2,Bentiu,yes,,violent activities among internally displaced persons in SS
,Patra,353,2,Bentiu,yes,,rival South Sudanese NORP forces in Bentiu and Rubkotna
,Patra,354,1,Unity,no,,recent clashes between the army and opposition forces
,Patra,355,2,Bentiu,yes,,enewed deadly clashes in South Sudan
,Patra,356,0,Bentiu,no,,praise for the measures adopted by a group of African states
,Patra,357,0,Unity,no,,polio virus
,Patra,358,2,Bentiu,yes,,tribesmen killed after the outbreak of violence 
